Comments,Reviewer Name
"The gender ratio is very low. But it is improving in recent years. In my department it is around 1:8. There are 10 cultural clubs in the college like debating, music,drama, dance, arts, etc. Regular workshops are organised by these clubs. There are students from different regions of the country. The college also accepts admissions from outside India also. The population of South Indians is less in here compared to other IIT's in the south like IIT Madras, IIT Hyderabad and IIT Bombay. There is no discrimination as such with regards to the above criterion. The institute has zero tolerance policy against ragging and discrimination. You will have to face disciplinary committee and necessary action will be taken if you don't abide by the rules.",Aravind Reddy
Campus Life is great. And gender ration is approximately 3:1 for boys and girls respectively. you get each and every extracurricular activities schedule and all the type of sports you want to play. You can play anytime. There is no kind of restrictions.,Ankit Bhaskar
"The gender ratio is quite poor around 1:20. Cultural activities, clubs, fest etc are abundant and top notch. Rendezvous is the annual college fest which is huge. The students are quite liberal and tolerant about gender, sexual orientation, political views etc.
There are societies and clubs for all kinds of extracurricular activities like dance, drama singing, robotics, entrepreneurship etc.",Atishay Jain
"The institute offers equal opportunity to maintain decent gender ratios and diversity. regarding the extracurricular activities, due to rich infrastructure offered by the campus, students have ample exposure for tennis, football, swimming, badminton and all the courts are easily accessible to the students.",DR. KHUSHBOO AGARWAL
"Campus life is quite good in iit. If we talk about gender ratio it is now changing so it's good, earlier the gender ratio was 1:10 which was very bad. Sports and competion culture is very good. College and hostel politics is quite bad in the iit as sometimes students fight over it. In iit it doesn't depend whether you are from different race, religion or if you look different.",Satyam Rathore
"Gender Ratio of IITD is not great. But it is improving every year. There are a lot of clubs here and students are aalways busy with academics, clubs, sports activities. People from religion, race, sexual orientation are accepted here without any sort of discrimination being faced by them.",Rudraksh Agarwal
There are many extra curricular activities in my institute. We are provided with high grade grounds and all the equipment needed for sports and also are promoted to tale part in all aports activities. The gender ratio in our batch is about 5:1 which is not that high.,Satwik Jain
Sports is too good here. There are ground for almost all kind of sports from squash to cricket. Gender ratio is less for girls but not low almost 2 boys to 1 girl. There is complete freedom here and no discrimination on basis of gender. Girls are also free to get out of hostel and get in at anytime. No one opposes aggressively to someone for sexual orientation religion or different political beliefs.,Akshat Jain
"We have many clubs like Music, Drama, Dance, Robotics, Coding club, which has a good participation ratio. The gender ratio is bad here. But the government is taking steps to improve the gender ratio by introducing female reservations. Our campus is free from any discrimination related to Gender, Race, Religion, etc.",Rishav Kumar Rajak
"Gender ratio is improving here. Cultural societies, sports clubs are the best thing here,they provide ample opportunities to explore one's hobbies & interests. Student diversity is there,but there is no discrimination on any ground. Everyone has different political ideologies & everyone respects other's views with a minor clashes sometimes.",Tarun Gaur
I think. for everyone it is the best place to explore other things. Here there are many clubs which you can join to learn something or to show your talent other tham studies. The gender ratio is 1:5 for my year student but overall i think it is around 1:10. In IITs you are free to live your life in your manners.,Abhinav Kumar
"Girls are comparatively less than the boys.Gender Ratio is around 2/7.There are many clubs like Dance, Music, Drama, FACC, Robotics, Coding, etc.There is no kind of discrimination faced among the students.",Rishav Kumar Rajak
"Gender ratio is 2:20 which is quite poor if we compare with other great colleges around the world. Diversity is good still students like socialize and mix -up which is quite good. extra curricular activities like debating, quizzing etc goes on throughout the semester.",Pankaj
"Gender ratio is very poor in IIT Delhi of 8:1. Students are from all parts of India.So overall IIT has very diverse range of students.There are many societies like SAE,Robotics etc and students are extensively involved in those groups.Students organises debate programmes also to improve their communication skills.",Sahaj Agarwal
"IIT have one of the best campus in Delhi. There is skewed gender ratio in here, but yes if want to have friends of both gender you would easy find one to mingle with. There is cultural and sports festival celebrated. There is also a open cultural festival which is competition as well as for fun. Here different hostel also have their own festivals celebrated.",Ravi
The gender ratio in the campus was almost even.There were regular subject specific workshops conducted in the campus. The labs are equipped with required instruments to facilitate students conduct research activities. The debates were subject specific.,Manish Wasuja
"Campus life is not that much good food items are easily available in and around the campus. night canteens are available gender ratio is 4:1, time to time various workshops are organizing by college cultural societies are there which are organizing various dances and cultural activities. student diversity is very much high ethnically issues, race issue, sexual orientation is not good, politics have much greater influence in IIT DELHI.",Sunny Bairisal
"Campus is one of the best with all the roads and pavements well maintained and routinely cleaned with lot of greenary inside the campus gender  ration is very less almost 6-8 girls per 100 boys, but there is alot to learn for one who want to learn there are lot of clubs like robotics, astronomy, aerodynamics etc.",Dheeraj Singh
Gender ratio is very low. may be 1:10 ratio of girls to boys. Politics is prevalent in hostels during annual hostel elections. There are occasional events and parties organised at hostel and campus level.There are occasional events and parties organised at hostel and campus level.,abhishek kumar
"Gender ratio was very skewed one can imagine that there were 2 girls hostel and 10 boys hostel there were several parties like house day, socials and all. There was healthy politics also which was inter hostel and intra hostel too all in all it was wonderful experience.",jitendra sharma
"Hostel facilities are little bit off. The mess and bathrooms are ok but there's a scarcity of rooms. We are living in a group of 3 in a double rooms. We have 10,15 hostels in the campus and all faces the same issue of overcrowding.
It's easy to avail the hostel. You have to fill the form, pay the fees via online transaction and its done.",Shivam
"Hostel infrastructure is okayish. Bathrooms are not that good and usually two to three people are made to stay in one room. The mess meal is okayish. There are computer rooms, badminton court, basketball court in the hostel itself. There are 2 female hostel and 11 male hostels.",Srishti Mishra
"IIT Delhi provides hostel facility for all the students registered in any full time course. It is upto the student to choose ergo its easy to avail hostel facility. Hostel rooms are average, there are 2/3 people sharing one room in all the hostels.",Rahul Bhola
Hostels are pretty good with a clean environment and good facilities with excellent infrastructure. Hostels are alloted to each and every student talking admission here. There are 11 boys hostels and 2 Girls hostels. Hostels are alloted on random.,Student (Anonymous)
"Yes.
For first year and second year students their are 2 students for one room. Other students are provided single room. Hostels fess is 8000 per semester and mess fees is 20000 per semester. Hostels of IIT Delhi ensures great hygiene and hostel life is an essential component of IIT life.",Deepak
Their are nice hostel rooms yes we share 3 in 1 room that is very easy to avail hostel sheet if you want it they you should pay money otherwise don't need to pay you can pay hostel sheet fee only once and you only pay the mess fee.,Sourav
"Yes, I have opted for hostel.
The rooms are quite well they are furnished and the room is sharing( 2 persons every room). The hostel seats are quite sufficient every one who opt for hostel allocated a room.
The facilities are quite good. There is a good bathroom, bed, mess and other facilities are provided. There is everything for entertainment purposes also. We have pool table, carrom, all kind of indoor game, badminton court, music room, dance room, common tv area, everything",Yash Jain
"Hostels are at very good condition. For 1st, 2nd year students, they have to share rooms, and onwards students gets a separate room. Every room has a bed, computer table, chair, big mirror, almirah and all. Entire hostel is equipped with high-speed wifi connection. Cleaning of hostels has been done everyday. Toilet and bathrooms are always clean utmost. Every hostel has its own gym, basketball court, cricket pitch, badminton court, indoor game hall. At the door, security guard are present 24 hours. CCTV surveillance system has been implemented at every hostel. Most of the time, every query related to hostel infrastructure has been solved within 2 days.",Eeshwar Dutt Nirmal
Hostel are there in IIT delhi separately for boys and girls students there are different fee for hostels according to room size and seats I got shared room in 26000 per semester. And food quality is great you can't find such food quality in any college.,Hemant
Hostel rooms have all facilities but we have issue with per person area. I mean we share a small room with 3 classmates which is congested but only till 3 rd year . New infrastructure is build for hostels. Every UG and PG student get accomodation in institute hostel facilities pretty easily.,Student (Anonymous)
Yes i have opted for hostel and its really good. You share room with your roommate All hostels are in good condition with clean environment and sweepers always available. Hostel charge is hardly 1000 per month including electricity. Hostel is best place with a room for private space a common room for gatherings library for studying lounge for resting crochet nets badminton basketball court for playing.,Kuldeep Meena
Yes I live in the hostel. Our hostel rooms are not in quite good conditions but you can live in it easily. I'm in my 4th year so I have my separate room. But in 2nd year you have to share a very small room with other students.,Satyam Rathore
"Yes I have opted for hostel.
The condition of the hostels are good.
All the rooms are well maintained with proper water and electricity facilities.If somehow any student is not able to get the hostel he can opt for PG. The average rent for PG is 6-8k per month.",Rahul
Facilities are not up to the mark for the money we pay. The hostels are quite old and are not very well maintained. Due to space constraints we are made to live 3 people in a room supposed to be for only 2 people.,Satwik Jain
Hostel are not good neither too bad. There is 3 sharing in first and second year while 2 in third and single in 4 year. Hostel seats are less than students here and therefore little small. Facilities are too good with common room with smart led ac quite well reading room music room and gym all are here. We have tt table foosball and pool too here. Fees for hostel is included in tution fees,Akshat Jain
"Yes, I have opted for a hostel. Hostel rooms are not very nice. Food quality is also good here. There are 24*7 water and electricity supply. More or less every enrolled student gets a hostel; if not, then they can rent PGs in Katwaria Serai, Ber Sarai, with moderate rents.",Rishav Kumar Rajak
"Yes, I opted for hostel. Hostel facilities are very good. Food is hygienic. I rated it 5 star. Management of hostel was excellent. There are lot of facilities for sport, like football, cricket, and many more.",Sahil Chauhan
"Yes, I have opted for a hostel.We have mixed kinds of rooms(maybe single, double or even triple).Hostel Charges is around 24000 INR.We get a 24*7 power and water facility.Food served is also good.",Rishav Kumar Rajak
"Hostel facility is also very nice. It has a air conditioned common room, Gym, badminton and basketball courts, table tennis high speed internet connectivity, clean washrooms, the mess food is not only hygienic but tasty and healthy also, prepared by trained professionals. The hostels are airy and well ventilated with lots of greenery around. Hostel fee is around Rs.10500 with mess fee extra calculated as per the expense made by the mess. Nearly Rs.120 per day",Srijan
The hostel and infrastructure is extremely great huge amount of government money is spent on developing the hostels and the infrastructure is at par with international standards yes I have also opted for hostel and it they charged me 40000 rupees for 6 months.,Divyansh Mathur
Hostels are only okayish. You have 24hr available electricity. But the rooms are small. And you need to share with one or two girls. There is no air conditioner in tooms but you are allowed to manage your coolers.there is very good security.,Guddal sharma
"My hostel is one of the biggest hostel and my room is sharing . Two students occupy a room. The mess provides food for the three times a day . In morning from 7 to 9 AM breakfast and 12 to 2 PM lunch and then 7 to 9 PM dinner. The food quality varies day by day. One can say the monday as best and the wednesday as the worst. The cost of lodging and fooding per semester is almost 21000. Hostel provides the facility of washing machine  , badminton court and the playing kits both indoor and outdoor. So the hostel facility is good.",PRITAM KUMAR
"Yes in the hostel, sharing rooms,75000 rupees, no pgs, food is good, not bad.",Mourya
"As IIT is being run by the government. Here's hospitals are not good not furnished. in the first year, we have to share a room in between 3 persons, with this students get aware of another state can learn other culture. Also, mess food is also not too good but Breakfast is good and a heavy breakfast. usually, food being made in viewing the perspective of student care and made under supervisor.",Rohit Pandey
I was also stay in hostel in 4 years. The hostel life is very careful. There is very good environment in hostel. All students are helpful for each other. Food of the hostel is also very hygienic and of low cost. My room rent is 10000 per month. But for that kind of faculty in hostel the fees is affordable.,Rishabh
"You will be given triple or double sharing room which depends on the hostel allotted to you. The size of room is such that apart from bed and a small table, you cannot move anything else. We have been provided with lan facility which works from 6am -1 am. You are given weekly quota of 10 GB and you cannot use torrent. Hostel also provide geysers for winter and a fully automatic washing machine. There is common TV room and reading room with AC. 
Quality of mess food is fine but taste is poor. They have tendency to put carrots in every dish. At dinner, you will be given some sweet dish which is great. Each hostel have a garden,badminton court and half basket ball court",Arpit Jaiswal
"There is a total of 13 hostels (11 for boys and 2 for girls) in Indian Institute of Technology, [IIT] Delhi. Hostels are also good though old and fee per semester is around Rs 30,000.I am not aware of the cost of PGs outside college but there are many of them in the nearby areas.College food is average and costs are included in the hostel fee itself. Each hostel has its own mess.",Ashish
Hostel facilities are one of the areas where iit Delhi quite lacks. Food qualities we all heard about the mouse incident as how a dead mouse was found in a chutney in breakfast. Living conditions are not good. Still we are not provided with WiFi in 2017 and have to use lan.,Pankaj
Yes I was residing in hostel. The hostel rooms were too nice. Their were single rooms with pgs. I pay 5000 monthly for them. They provide very good facilities. The food was of very good quality I enjoyed living there. It feels like home.,Amitjoshi
Mess food quality is very good as compared to other colleges.Hostels and hostel rooms are well maintained.For M.tech for first year it is double sharing and for second year it is single sharing.Hostel fees is nominal per semester around 5000 rupees per semester.,Sahaj Agarwal
faculty was ofcourse good as it is not easy for someone to get placed in such a big institution. numbber of lectuures were 5-6 a day. teachers were humble. they were available all the time for the students. one can go anytime to clear his doubts. as my course was more theoretical so there was not much industry experience.,supriya
"Faculty in Department of Chemistry are very polite, research dedicated, helpful, and much more. You can mail them any time and they will reply it very quickly. They were good in class as well as in the laboratory. They encourag you for research and hence you cannot complain about them. If you are working with your supervisor he will have weekly sessions to help you with the research problems and guide you well.",Banwari Lal Meena
"I believe some lecture are very good and some are very booring it depends on professor, the age of professor come in range of 30-50 and normally all are phd and almost all lecture contain industry based knowledge and I believe this is most beautiful thing in IITs structure.",Sandeep ranwa
"Their are around 4 lectures per day for 4 different courses. Apart from lecture sessions, their are labs as well. The faculty of each course explains every topic very well.
The faculty of IIT Delhi are easily approachable. Any student can visit the faculty in his conserned room, during his doubt sessions time (normally around 5pm everyday) or he can write an email to the concerned faculty for an appointment and faculty responds him with the date and time of appointment.",Deepak
Faculty of iit Delhi is best in india no doubt but how we will assess is by getting reviewed by our seniors and super seniors. They tell us what to choose and which is better for the subject and which faculty is best. So by taking there reviews we sit in the classes of that faculty for two to three days and see if they suit us or not.,Manas Kankane
"Teachers in our college are well qualified, knowledgeable and generous. They try reaching out to us and take our doubts on an online platform named Piazza. Assignments are a very vital part of learning in our department, so they are totally relevant to what is going on in the class.",Akshay nasa
"Number of lectures ina course could vary from 1-4. It depends on the number of students, lab sessions, etc. Average age of the faculty is around 40. They all are well qualified with atleast a PhD and a post doctoral fellowship. They also have written many research papers and also published them in top class journals. Most of the lectures also have the industry experience. They often collaborate with the industries to solve some problems.",Aravind Reddy
One of the best faculty all over India in all the department. The tentative number of lecture in a course depends on the credit of a course. If a course is of 4 credits then we have 3 lecture per week of 1 hr each and also a tutorial of 1 hr. The average age of professors is quite high indicating that they are very experienced. Most of them are graduated in one of the IITS and then further a post graduation in a foreign University. One professor take 3-4 courses and they are perfect in that. They are either researching on that particular topic or they had done their post graduation in that topic. So they teach quite well and clear every doubt we have.,Yash Jain
"Approximately 70 lectures per semester in each and every topic. Our best faculty was Dr. Javed Ali. He was the faculty for Computer Science and one of the best professors at the IIT I had ever met. He is the one who acts as a friend when needed, a father when compulsory.",Ankit Bhaskar
Well experienced and each of them have their own perspective of teaching based on their field of research. They all have their PhD's in good universities and they are accessible to us via intra mails if not we can meet them when they are free. clear doubts and explain every tiny thing if required another time for students and there is 15:1 student faculty ratio in our college.,KUNAL KAUSHIK GORLE
The profeesors are some of the best in india as IIT delhi is considered to be one of the best engineering college in india. Almost all profeesors have many notable papers and research publications under their name. Some of the profeesors have even received awards from the government like padma shri.,Atishay Jain
"Faculty of IITs are no doubt extra ordinary they are well qualified and experienced in their subjects they are highly talented and motivated to their work, down to earth and at any stage they are ready to learn new things I love this quality most",Hemant
The stature of IIT-Delhi is mainly due to the highly devoted and impressive faculty members who work really hard to contribute to the advancement of the institute. All of the faculty members are highly qualified and have a very good research profile with is an added advantage for the students,DR. KHUSHBOO AGARWAL
Faculties are awesome. Number of lecture depend on level of course from 2 to 6 hrs per week along with practical hours if applicable Average age although not sure must be around 35 to 40. Most of them are PHDs from various IITS and IISc. Amost professors are excellent and have lots of experience and are ready to discuss both course dobts and new ideas related to industry.,Kuldeep Meena
"The faculty is very knowledgeable, but most of them don't know about how to teach the group of students as it is two very different things. If you do projects under them most of them are very good and very helpful but in teaching they are not so good.",Satyam Rathore
We have really good faculty at IIT Delhi and in a day we have to attend 3-4 lectures of 1-1.5 hours which is quite detailed. Professors are available to clear the doubts of lectures. The faculty at IIT Delhi is quite the best faculty they're the experts of their feilds.,Ujjwal
Our college has excellent and knowledgeable faculty who are supremely professional and friendly at the same time.There are 14 departments in the college and every one of them has able and wise teacher's and assistant professor's. Everyone from the library staff to the lab staff is helpful and cooperative.,Rahul
faculty was ofcourse good as it is not easy for someone to get placed in such a big institution. numbber of lectuures were 5-6 a day. teachers were humble. they were available all the time for the students. one can go anytime to clear his doubts. as my course was more theoretical so there was not much industry experience.,supriya
"Faculty in Department of Chemistry are very polite, research dedicated, helpful, and much more. You can mail them any time and they will reply it very quickly. They were good in class as well as in the laboratory. They encourag you for research and hence you cannot complain about them. If you are working with your supervisor he will have weekly sessions to help you with the research problems and guide you well.",Banwari Lal Meena
"I believe some lecture are very good and some are very booring it depends on professor, the age of professor come in range of 30-50 and normally all are phd and almost all lecture contain industry based knowledge and I believe this is most beautiful thing in IITs structure.",Sandeep ranwa
"Their are around 4 lectures per day for 4 different courses. Apart from lecture sessions, their are labs as well. The faculty of each course explains every topic very well.
The faculty of IIT Delhi are easily approachable. Any student can visit the faculty in his conserned room, during his doubt sessions time (normally around 5pm everyday) or he can write an email to the concerned faculty for an appointment and faculty responds him with the date and time of appointment.",Deepak
Faculty of iit Delhi is best in india no doubt but how we will assess is by getting reviewed by our seniors and super seniors. They tell us what to choose and which is better for the subject and which faculty is best. So by taking there reviews we sit in the classes of that faculty for two to three days and see if they suit us or not.,Manas Kankane
"Teachers in our college are well qualified, knowledgeable and generous. They try reaching out to us and take our doubts on an online platform named Piazza. Assignments are a very vital part of learning in our department, so they are totally relevant to what is going on in the class.",Akshay nasa
"Number of lectures ina course could vary from 1-4. It depends on the number of students, lab sessions, etc. Average age of the faculty is around 40. They all are well qualified with atleast a PhD and a post doctoral fellowship. They also have written many research papers and also published them in top class journals. Most of the lectures also have the industry experience. They often collaborate with the industries to solve some problems.",Aravind Reddy
One of the best faculty all over India in all the department. The tentative number of lecture in a course depends on the credit of a course. If a course is of 4 credits then we have 3 lecture per week of 1 hr each and also a tutorial of 1 hr. The average age of professors is quite high indicating that they are very experienced. Most of them are graduated in one of the IITS and then further a post graduation in a foreign University. One professor take 3-4 courses and they are perfect in that. They are either researching on that particular topic or they had done their post graduation in that topic. So they teach quite well and clear every doubt we have.,Yash Jain
"Approximately 70 lectures per semester in each and every topic. Our best faculty was Dr. Javed Ali. He was the faculty for Computer Science and one of the best professors at the IIT I had ever met. He is the one who acts as a friend when needed, a father when compulsory.",Ankit Bhaskar
Well experienced and each of them have their own perspective of teaching based on their field of research. They all have their PhD's in good universities and they are accessible to us via intra mails if not we can meet them when they are free. clear doubts and explain every tiny thing if required another time for students and there is 15:1 student faculty ratio in our college.,KUNAL KAUSHIK GORLE
The profeesors are some of the best in india as IIT delhi is considered to be one of the best engineering college in india. Almost all profeesors have many notable papers and research publications under their name. Some of the profeesors have even received awards from the government like padma shri.,Atishay Jain
"Faculty of IITs are no doubt extra ordinary they are well qualified and experienced in their subjects they are highly talented and motivated to their work, down to earth and at any stage they are ready to learn new things I love this quality most",Hemant
The stature of IIT-Delhi is mainly due to the highly devoted and impressive faculty members who work really hard to contribute to the advancement of the institute. All of the faculty members are highly qualified and have a very good research profile with is an added advantage for the students,DR. KHUSHBOO AGARWAL
Faculties are awesome. Number of lecture depend on level of course from 2 to 6 hrs per week along with practical hours if applicable Average age although not sure must be around 35 to 40. Most of them are PHDs from various IITS and IISc. Amost professors are excellent and have lots of experience and are ready to discuss both course dobts and new ideas related to industry.,Kuldeep Meena
"The faculty is very knowledgeable, but most of them don't know about how to teach the group of students as it is two very different things. If you do projects under them most of them are very good and very helpful but in teaching they are not so good.",Satyam Rathore
We have really good faculty at IIT Delhi and in a day we have to attend 3-4 lectures of 1-1.5 hours which is quite detailed. Professors are available to clear the doubts of lectures. The faculty at IIT Delhi is quite the best faculty they're the experts of their feilds.,Ujjwal
Our college has excellent and knowledgeable faculty who are supremely professional and friendly at the same time.There are 14 departments in the college and every one of them has able and wise teacher's and assistant professor's. Everyone from the library staff to the lab staff is helpful and cooperative.,Rahul
